AKBA,"Akebia Therapeutics Inc.", $2.69, -7.30, -73.05% 

CYCN,"Cyclerion Therapeutics Inc." , $6.44 , -1.25 , -16.36% 

EVGN,"Evogene Ltd.",$2.37, -0.44, -15.95% 

SPWH,"Sportsmans Warehouse Holdings Inc.",$14.50,-2.75,-15.94%

CONN,"Conns Inc.", $11.54 ,-2.16,-15.77% 
